s3->rx1:90 s3->rx2:176 s1->tx1:546 s1->tx2:490 s1->tx3:576
s3->rx1:2122 s3->rx2:3246906 s1->tx1:5102 s1->tx2:1004590 s1->tx3:1009126
s3->rx1:160 s3->rx2:5246730 s1->tx1:4772 s1->tx2:2013915 s1->tx3:1170852
s3->rx1:132 s3->rx2:5243616 s1->tx1:3474 s1->tx2:2602907 s1->tx3:591517
s3->rx1:0 s3->rx2:5249664 s1->tx1:854 s1->tx2:2601494 s1->tx3:590534
s3->rx1:0 s3->rx2:5239150 s1->tx1:952 s1->tx2:2613688 s1->tx3:569394
s3->rx1:406 s3->rx2:5227320 s1->tx1:1596 s1->tx2:2591610 s1->tx3:576051
s3->rx1:252 s3->rx2:5231730 s1->tx1:140 s1->tx2:2615942 s1->tx3:574630
s3->rx1:210 s3->rx2:5252898 s1->tx1:0 s1->tx2:2624832 s1->tx3:567203
s3->rx1:0 s3->rx2:3005940 s1->tx1:1099 s1->tx2:2362843 s1->tx3:820400
s3->rx1:0 s3->rx2:5249664 s1->tx1:0 s1->tx2:1764504 s1->tx3:1422792
s3->rx1:0 s3->rx2:5254200 s1->tx1:0 s1->tx2:2618784 s1->tx3:577584
s3->rx1:0 s3->rx2:5254200 s1->tx1:70 s1->tx2:2615830 s1->tx3:571606
s3->rx1:70 s3->rx2:5252758 s1->tx1:280 s1->tx2:2623600 s1->tx3:570234
s3->rx1:0 s3->rx2:5249664 s1->tx1:280 s1->tx2:2622088 s1->tx3:568862
s3->rx1:0 s3->rx2:5252688 s1->tx1:210 s1->tx2:2611434 s1->tx3:579306
s3->rx1:0 s3->rx2:5246640 s1->tx1:0 s1->tx2:2618784 s1->tx3:568715
s3->rx1:0 s3->rx2:5228496 s1->tx1:1015 s1->tx2:2598631 s1->tx3:569324
s3->rx1:0 s3->rx2:5228496 s1->tx1:0 s1->tx2:2614248 s1->tx3:573048
s3->rx1:0 s3->rx2:5246640 s1->tx1:0 s1->tx2:2615760 s1->tx3:573048
s3->rx1:0 s3->rx2:5251176 s1->tx1:0 s1->tx2:2606688 s1->tx3:583632
s3->rx1:0 s3->rx2:5251176 s1->tx1:0 s1->tx2:2614248 s1->tx3:577584
s3->rx1:0 s3->rx2:5252688 s1->tx1:0 s1->tx2:2611224 s1->tx3:580608
s3->rx1:0 s3->rx2:5252688 s1->tx1:0 s1->tx2:2611224 s1->tx3:577584
s3->rx1:0 s3->rx2:5243616 s1->tx1:0 s1->tx2:2614248 s1->tx3:573048
s3->rx1:0 s3->rx2:5243616 s1->tx1:0 s1->tx2:2617272 s1->tx3:570024
s3->rx1:0 s3->rx2:5251176 s1->tx1:0 s1->tx2:2617272 s1->tx3:574560
s3->rx1:0 s3->rx2:5230008 s1->tx1:140 s1->tx2:2587172 s1->tx3:579236
s3->rx1:70 s3->rx2:5225542 s1->tx1:140 s1->tx2:2612876 s1->tx3:570094
s3->rx1:0 s3->rx2:5246640 s1->tx1:210 s1->tx2:2617482 s1->tx3:574770
s3->rx1:42 s3->rx2:5255712 s1->tx1:70 s1->tx2:2621948 s1->tx3:567140
s3->rx1:42 s3->rx2:5243616 s1->tx1:70 s1->tx2:2626414 s1->tx3:565628
s3->rx1:42 s3->rx2:5249664 s1->tx1:203 s1->tx2:2620296 s1->tx3:567203
s3->rx1:0 s3->rx2:5252688 s1->tx1:952 s1->tx2:2618427 s1->tx3:572488
s3->rx1:0 s3->rx2:5249664 s1->tx1:0 s1->tx2:2627856 s1->tx3:568512
s3->rx1:42 s3->rx2:5255712 s1->tx1:70 s1->tx2:2623320 s1->tx3:568512
s3->rx1:0 s3->rx2:5251176 s1->tx1:42 s1->tx2:2618784 s1->tx3:571536
s3->rx1:74 s3->rx2:5248152 s1->tx1:0 s1->tx2:2617272 s1->tx3:567000
s3->rx1:141 s3->rx2:5239164 s1->tx1:140 s1->tx2:2624832 s1->tx3:565488
s3->rx1:287971 s3->rx2:5249706 s1->tx1:9506 s1->tx2:2602194 s1->tx3:576072
s3->rx1:259453 s3->rx2:5251176 s1->tx1:4074 s1->tx2:2617272 s1->tx3:570066
s3->rx1:33950 s3->rx2:5255712 s1->tx1:16371 s1->tx2:2609712 s1->tx3:565488
s3->rx1:32592 s3->rx2:5252688 s1->tx1:5432 s1->tx2:2614248 s1->tx3:573048
s3->rx1:23086 s3->rx2:5255712 s1->tx1:6790 s1->tx2:2621808 s1->tx3:567000
s3->rx1:2563904 s3->rx2:5249664 s1->tx1:54320 s1->tx2:2567376 s1->tx3:567000
s3->rx1:2684766 s3->rx2:5246640 s1->tx1:74690 s1->tx2:2543184 s1->tx3:568512
s3->rx1:2896614 s3->rx2:5246640 s1->tx1:92344 s1->tx2:2526552 s1->tx3:560952
s3->rx1:3191300 s3->rx2:5231520 s1->tx1:104566 s1->tx2:2520504 s1->tx3:562464
s3->rx1:2406376 s3->rx2:5249664 s1->tx1:84196 s1->tx2:2543184 s1->tx3:567000
s3->rx1:2528596 s3->rx2:5258736 s1->tx1:88270 s1->tx2:2540160 s1->tx3:565488
s3->rx1:718382 s3->rx2:5252688 s1->tx1:27160 s1->tx2:2585520 s1->tx3:571536
s3->rx1:698012 s3->rx2:5243616 s1->tx1:21728 s1->tx2:2605176 s1->tx3:567000
s3->rx1:784924 s3->rx2:5264784 s1->tx1:31234 s1->tx2:2594592 s1->tx3:567000
s3->rx1:611100 s3->rx2:5240592 s1->tx1:29876 s1->tx2:2591568 s1->tx3:565488
s3->rx1:1477504 s3->rx2:5233032 s1->tx1:31234 s1->tx2:2571912 s1->tx3:563976
s3->rx1:1864534 s3->rx2:5217912 s1->tx1:69258 s1->tx2:2555280 s1->tx3:562464
s3->rx1:1053808 s3->rx2:5264784 s1->tx1:43456 s1->tx2:2585520 s1->tx3:573048
s3->rx1:992698 s3->rx2:5261760 s1->tx1:25942 s1->tx2:2597756 s1->tx3:567140
s3->rx1:1368864 s3->rx2:5249664 s1->tx1:36666 s1->tx2:2582496 s1->tx3:571536
s3->rx1:1811572 s3->rx2:5249734 s1->tx1:46312 s1->tx2:2575076 s1->tx3:567070
s3->rx1:1907990 s3->rx2:5252688 s1->tx1:51604 s1->tx2:2568888 s1->tx3:574560
s3->rx1:1389304 s3->rx2:5249664 s1->tx1:50386 s1->tx2:2570540 s1->tx3:565628
s3->rx1:687148 s3->rx2:5237568 s1->tx1:55678 s1->tx2:2559816 s1->tx3:565488
s3->rx1:1438122 s3->rx2:5240592 s1->tx1:38024 s1->tx2:2582566 s1->tx3:564249
s3->rx1:1154300 s3->rx2:5246640 s1->tx1:44471 s1->tx2:2583511 s1->tx3:567812
s3->rx1:1630958 s3->rx2:5261760 s1->tx1:48958 s1->tx2:2579472 s1->tx3:567070
s3->rx1:950600 s3->rx2:5249664 s1->tx1:35308 s1->tx2:2574936 s1->tx3:570024
s3->rx1:1810214 s3->rx2:5240592 s1->tx1:49028 s1->tx2:2582706 s1->tx3:561162
s3->rx1:1208662 s3->rx2:5252772 s1->tx1:54390 s1->tx2:2578030 s1->tx3:562534
s3->rx1:966938 s3->rx2:5255754 s1->tx1:16296 s1->tx2:2602152 s1->tx3:568554
