s3->rx1:90 s3->rx2:90 s1->tx1:584 s1->tx2:708 s1->tx3:532
s3->rx1:2122 s3->rx2:2080 s1->tx1:6056 s1->tx2:5768 s1->tx3:5948
s3->rx1:160 s3->rx2:250 s1->tx1:6566 s1->tx2:6816 s1->tx3:6816
s3->rx1:132 s3->rx2:0 s1->tx1:3004 s1->tx2:3004 s1->tx3:2914
s3->rx1:0 s3->rx2:0 s1->tx1:812 s1->tx2:812 s1->tx3:812
s3->rx1:0 s3->rx2:0 s1->tx1:1498 s1->tx2:1498 s1->tx3:1428
s3->rx1:406 s3->rx2:406 s1->tx1:1575 s1->tx2:1575 s1->tx3:1645
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:203 s1->tx2:203 s1->tx3:203
s3->rx1:0 s3->rx2:0 s1->tx1:812 s1->tx2:812 s1->tx3:812
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:70 s1->tx2:70 s1->tx3:70
s3->rx1:0 s3->rx2:70 s1->tx1:280 s1->tx2:280 s1->tx3:210
s3->rx1:70 s3->rx2:0 s1->tx1:490 s1->tx2:490 s1->tx3:560
s3->rx1:0 s3->rx2:0 s1->tx1:70 s1->tx2:70 s1->tx3:70
s3->rx1:0 s3->rx2:0 s1->tx1:406 s1->tx2:406 s1->tx3:406
s3->rx1:0 s3->rx2:0 s1->tx1:609 s1->tx2:609 s1->tx3:609
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:0 s1->tx2:0 s1->tx3:0
s3->rx1:0 s3->rx2:0 s1->tx1:140 s1->tx2:140 s1->tx3:140
s3->rx1:0 s3->rx2:70 s1->tx1:210 s1->tx2:140 s1->tx3:140
s3->rx1:0 s3->rx2:0 s1->tx1:140 s1->tx2:210 s1->tx3:70
s3->rx1:285 s3->rx2:0 s1->tx1:285 s1->tx2:70 s1->tx3:70
s3->rx1:266168 s3->rx2:0 s1->tx1:256872 s1->tx2:210 s1->tx3:350
s3->rx1:32592 s3->rx2:0 s1->tx1:42707 s1->tx2:406 s1->tx3:406
s3->rx1:259378 s3->rx2:0 s1->tx1:259924 s1->tx2:749 s1->tx3:749
s3->rx1:33950 s3->rx2:0 s1->tx1:33950 s1->tx2:0 s1->tx3:0
s3->rx1:28560 s3->rx2:0 s1->tx1:31276 s1->tx2:0 s1->tx3:0
s3->rx1:1507380 s3->rx2:0 s1->tx1:1504664 s1->tx2:0 s1->tx3:0
s3->rx1:2687482 s3->rx2:0 s1->tx1:2606002 s1->tx2:0 s1->tx3:0
s3->rx1:2755382 s3->rx2:0 s1->tx1:2661680 s1->tx2:0 s1->tx3:0
s3->rx1:3100314 s3->rx2:0 s1->tx1:3035130 s1->tx2:0 s1->tx3:0
s3->rx1:2437610 s3->rx2:0 s1->tx1:2405018 s1->tx2:0 s1->tx3:0
s3->rx1:3259200 s3->rx2:0 s1->tx1:3084018 s1->tx2:0 s1->tx3:0
s3->rx1:975044 s3->rx2:0 s1->tx1:1423184 s1->tx2:0 s1->tx3:0
s3->rx1:649124 s3->rx2:0 s1->tx1:620606 s1->tx2:0 s1->tx3:0
s3->rx1:677642 s3->rx2:0 s1->tx1:723814 s1->tx2:0 s1->tx3:0
s3->rx1:771344 s3->rx2:0 s1->tx1:753690 s1->tx2:0 s1->tx3:0
s3->rx1:976402 s3->rx2:0 s1->tx1:976402 s1->tx2:0 s1->tx3:0
s3->rx1:1950088 s3->rx2:0 s1->tx1:1950088 s1->tx2:0 s1->tx3:0
s3->rx1:1431332 s3->rx2:0 s1->tx1:1431332 s1->tx2:0 s1->tx3:0
s3->rx1:810726 s3->rx2:0 s1->tx1:810726 s1->tx2:0 s1->tx3:0
s3->rx1:1197756 s3->rx2:0 s1->tx1:1197756 s1->tx2:0 s1->tx3:0
s3->rx1:1664908 s3->rx2:0 s1->tx1:1560342 s1->tx2:0 s1->tx3:0
s3->rx1:2030210 s3->rx2:0 s1->tx1:1864534 s1->tx2:0 s1->tx3:0
s3->rx1:1390592 s3->rx2:0 s1->tx1:1569848 s1->tx2:0 s1->tx3:0
s3->rx1:1071462 s3->rx2:0 s1->tx1:1162448 s1->tx2:0 s1->tx3:0
s3->rx1:976402 s3->rx2:0 s1->tx1:976542 s1->tx2:140 s1->tx3:140
s3->rx1:1425900 s3->rx2:0 s1->tx1:1425900 s1->tx2:0 s1->tx3:0
s3->rx1:1443554 s3->rx2:70 s1->tx1:1443694 s1->tx2:140 s1->tx3:140
s3->rx1:1105412 s3->rx2:0 s1->tx1:1105412 s1->tx2:0 s1->tx3:0
s3->rx1:1679846 s3->rx2:0 s1->tx1:1458632 s1->tx2:70 s1->tx3:70
s3->rx1:1609230 s3->rx2:0 s1->tx1:1830584 s1->tx2:0 s1->tx3:0
s3->rx1:598948 s3->rx2:0 s1->tx1:599018 s1->tx2:210 s1->tx3:70
s3->rx1:1415078 s3->rx2:0 s1->tx1:1265698 s1->tx2:0 s1->tx3:0
s3->rx1:920724 s3->rx2:0 s1->tx1:1080016 s1->tx2:406 s1->tx3:406
s3->rx1:837886 s3->rx2:0 s1->tx1:828989 s1->tx2:609 s1->tx3:609
s3->rx1:1550836 s3->rx2:0 s1->tx1:1550976 s1->tx2:140 s1->tx3:210
s3->rx1:1201830 s3->rx2:0 s1->tx1:1082326 s1->tx2:0 s1->tx3:0
s3->rx1:2145682 s3->rx2:0 s1->tx1:2210936 s1->tx2:70 s1->tx3:140
s3->rx1:1501948 s3->rx2:0 s1->tx1:1556268 s1->tx2:0 s1->tx3:0
s3->rx1:890848 s3->rx2:0 s1->tx1:890988 s1->tx2:140 s1->tx3:140
s3->rx1:1157016 s3->rx2:0 s1->tx1:943810 s1->tx2:0 s1->tx3:0
s3->rx1:1501948 s3->rx2:0 s1->tx1:1410962 s1->tx2:0 s1->tx3:0
s3->rx1:1256150 s3->rx2:0 s1->tx1:1491084 s1->tx2:0 s1->tx3:0
s3->rx1:1905274 s3->rx2:0 s1->tx1:1974532 s1->tx2:0 s1->tx3:0
s3->rx1:1663550 s3->rx2:0 s1->tx1:1663550 s1->tx2:0 s1->tx3:0
s3->rx1:1250718 s3->rx2:0 s1->tx1:1250718 s1->tx2:0 s1->tx3:0
s3->rx1:862330 s3->rx2:0 s1->tx1:862330 s1->tx2:0 s1->tx3:0
s3->rx1:763196 s3->rx2:0 s1->tx1:763196 s1->tx2:0 s1->tx3:0
s3->rx1:1594292 s3->rx2:0 s1->tx1:1448986 s1->tx2:0 s1->tx3:0
s3->rx1:1318618 s3->rx2:0 s1->tx1:1322692 s1->tx2:0 s1->tx3:0
s3->rx1:1728734 s3->rx2:0 s1->tx1:1587502 s1->tx2:0 s1->tx3:0
s3->rx1:1603798 s3->rx2:0 s1->tx1:1886262 s1->tx2:0 s1->tx3:0
s3->rx1:2349340 s3->rx2:0 s1->tx1:2349340 s1->tx2:0 s1->tx3:0
s3->rx1:1711080 s3->rx2:0 s1->tx1:1711080 s1->tx2:0 s1->tx3:0
s3->rx1:1462566 s3->rx2:0 s1->tx1:1462566 s1->tx2:0 s1->tx3:0
s3->rx1:795788 s3->rx2:0 s1->tx1:795788 s1->tx2:0 s1->tx3:0
s3->rx1:188762 s3->rx2:0 s1->tx1:188762 s1->tx2:0 s1->tx3:0
s3->rx1:816158 s3->rx2:0 s1->tx1:816158 s1->tx2:0 s1->tx3:0
s3->rx1:1045660 s3->rx2:0 s1->tx1:1040228 s1->tx2:0 s1->tx3:0
s3->rx1:775418 s3->rx2:0 s1->tx1:775418 s1->tx2:0 s1->tx3:0
s3->rx1:120862 s3->rx2:0 s1->tx1:126294 s1->tx2:0 s1->tx3:0
s3->rx1:157528 s3->rx2:0 s1->tx1:157528 s1->tx2:0 s1->tx3:0
s3->rx1:1526392 s3->rx2:0 s1->tx1:1526392 s1->tx2:0 s1->tx3:0
s3->rx1:1089116 s3->rx2:0 s1->tx1:1089116 s1->tx2:0 s1->tx3:0
s3->rx1:1652728 s3->rx2:0 s1->tx1:1652728 s1->tx2:0 s1->tx3:0
s3->rx1:1368864 s3->rx2:0 s1->tx1:1368864 s1->tx2:0 s1->tx3:0
s3->rx1:1700216 s3->rx2:0 s1->tx1:1639106 s1->tx2:0 s1->tx3:0
s3->rx1:2085888 s3->rx2:0 s1->tx1:1793918 s1->tx2:0 s1->tx3:0
s3->rx1:2286872 s3->rx2:0 s1->tx1:2365636 s1->tx2:0 s1->tx3:0
s3->rx1:1222242 s3->rx2:0 s1->tx1:1521002 s1->tx2:0 s1->tx3:0
s3->rx1:1834658 s3->rx2:0 s1->tx1:1810214 s1->tx2:0 s1->tx3:0
s3->rx1:2510942 s3->rx2:0 s1->tx1:2289588 s1->tx2:0 s1->tx3:0
s3->rx1:1091832 s3->rx2:0 s1->tx1:1313186 s1->tx2:0 s1->tx3:0
s3->rx1:1291458 s3->rx2:0 s1->tx1:1291458 s1->tx2:0 s1->tx3:0
s3->rx1:1082326 s3->rx2:0 s1->tx1:1082326 s1->tx2:0 s1->tx3:0
s3->rx1:1010352 s3->rx2:0 s1->tx1:1010352 s1->tx2:0 s1->tx3:0
s3->rx1:698012 s3->rx2:0 s1->tx1:698012 s1->tx2:0 s1->tx3:0
s3->rx1:414190 s3->rx2:0 s1->tx1:414190 s1->tx2:0 s1->tx3:0
s3->rx1:669494 s3->rx2:0 s1->tx1:685790 s1->tx2:0 s1->tx3:0
s3->rx1:962822 s3->rx2:0 s1->tx1:946526 s1->tx2:0 s1->tx3:0
s3->rx1:1091832 s3->rx2:0 s1->tx1:1091832 s1->tx2:0 s1->tx3:0
s3->rx1:3007970 s3->rx2:0 s1->tx1:2430820 s1->tx2:0 s1->tx3:0
s3->rx1:1641822 s3->rx2:0 s1->tx1:2219042 s1->tx2:70 s1->tx3:70
s3->rx1:1087758 s3->rx2:0 s1->tx1:1087758 s1->tx2:0 s1->tx3:0
s3->rx1:1177386 s3->rx2:0 s1->tx1:1177456 s1->tx2:70 s1->tx3:70
s3->rx1:1144794 s3->rx2:0 s1->tx1:1060598 s1->tx2:0 s1->tx3:0
