s3->rx1:736 s3->rx2:736 s1->tx1:13898 s1->tx2:14100 s1->tx3:14228
s3->rx1:1904 s3->rx2:169736 s1->tx1:3768 s1->tx2:197102 s1->tx3:3727
s3->rx1:336 s3->rx2:2638440 s1->tx1:1297 s1->tx2:1031101 s1->tx3:1366
s3->rx1:70 s3->rx2:2636998 s1->tx1:1226 s1->tx2:640670 s1->tx3:954
s3->rx1:0 s3->rx2:2636928 s1->tx1:130 s1->tx2:641218 s1->tx3:190
s3->rx1:0 s3->rx2:2632392 s1->tx1:323 s1->tx2:641411 s1->tx3:466
s3->rx1:336 s3->rx2:2638776 s1->tx1:921 s1->tx2:640497 s1->tx3:718
s3->rx1:294 s3->rx2:2637222 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:294 s3->rx2:2640246 s1->tx1:60 s1->tx2:641190 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:130 s1->tx2:641148 s1->tx3:200
s3->rx1:70 s3->rx2:2633904 s1->tx1:200 s1->tx2:639776 s1->tx3:200
s3->rx1:0 s3->rx2:2635416 s1->tx1:550 s1->tx2:641638 s1->tx3:470
s3->rx1:0 s3->rx2:2636998 s1->tx1:120 s1->tx2:641278 s1->tx3:130
s3->rx1:0 s3->rx2:2638440 s1->tx1:263 s1->tx2:641554 s1->tx3:669
s3->rx1:0 s3->rx2:2641464 s1->tx1:669 s1->tx2:640042 s1->tx3:263
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:642660 s1->tx3:60
s3->rx1:0 s3->rx2:2639952 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2639952 s1->tx1:60 s1->tx2:641148 s1->tx3:120
s3->rx1:0 s3->rx2:2638440 s1->tx1:120 s1->tx2:642720 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:642660 s1->tx3:130
s3->rx1:70 s3->rx2:2635416 s1->tx1:130 s1->tx2:639636 s1->tx3:130
s3->rx1:0 s3->rx2:2635416 s1->tx1:200 s1->tx2:639776 s1->tx3:200
s3->rx1:0 s3->rx2:2638440 s1->tx1:130 s1->tx2:642730 s1->tx3:190
s3->rx1:0 s3->rx2:2635416 s1->tx1:330 s1->tx2:639976 s1->tx3:200
s3->rx1:0 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:0 s3->rx2:2636998 s1->tx1:1082 s1->tx2:642170 s1->tx3:1082
s3->rx1:0 s3->rx2:2636928 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:0 s3->rx2:2635416 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2641464 s1->tx1:60 s1->tx2:642660 s1->tx3:60
s3->rx1:42 s3->rx2:2638440 s1->tx1:120 s1->tx2:641208 s1->tx3:120
s3->rx1:42 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2635416 s1->tx1:60 s1->tx2:639636 s1->tx3:60
s3->rx1:42 s3->rx2:2639952 s1->tx1:60 s1->tx2:642660 s1->tx3:60
s3->rx1:42 s3->rx2:2636928 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2639952 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2644488 s1->tx1:60 s1->tx2:642660 s1->tx3:60
s3->rx1:42 s3->rx2:2635416 s1->tx1:60 s1->tx2:641208 s1->tx3:120
s3->rx1:42 s3->rx2:2639952 s1->tx1:120 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:42 s3->rx2:2638440 s1->tx1:60 s1->tx2:641148 s1->tx3:60
s3->rx1:319172 s3->rx2:2635416 s1->tx1:199728 s1->tx2:639678 s1->tx3:102
s3->rx1:511966 s3->rx2:2635458 s1->tx1:646468 s1->tx2:642660 s1->tx3:60
s3->rx1:1781696 s3->rx2:2636970 s1->tx1:1766818 s1->tx2:639636 s1->tx3:60
