s3->rx1:646 s3->rx2:646 s1->tx1:13178 s1->tx2:13178 s1->tx3:13178
s3->rx1:1904 s3->rx2:1904 s1->tx1:3968 s1->tx2:3968 s1->tx3:3968
s3->rx1:406 s3->rx2:0 s1->tx1:1691 s1->tx2:1621 s1->tx3:1691
s3->rx1:0 s3->rx2:70 s1->tx1:1700 s1->tx2:1700 s1->tx3:1700
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:190 s1->tx3:120
s3->rx1:0 s3->rx2:0 s1->tx1:407 s1->tx2:305 s1->tx3:305
s3->rx1:336 s3->rx2:336 s1->tx1:1124 s1->tx2:1166 s1->tx3:1166
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:70 s3->rx2:0 s1->tx1:410 s1->tx2:340 s1->tx3:410
s3->rx1:0 s3->rx2:0 s1->tx1:480 s1->tx2:480 s1->tx3:540
s3->rx1:0 s3->rx2:70 s1->tx1:260 s1->tx2:260 s1->tx3:200
s3->rx1:0 s3->rx2:0 s1->tx1:466 s1->tx2:536 s1->tx3:669
s3->rx1:0 s3->rx2:0 s1->tx1:669 s1->tx2:669 s1->tx3:466
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:120
s3->rx1:0 s3->rx2:0 s1->tx1:120 s1->tx2:120 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
s3->rx1:0 s3->rx2:0 s1->tx1:60 s1->tx2:60 s1->tx3:60
